1254065,Mumbai,2021-04-16,2021,8,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,6,NA,DL Chahar,AK Chaudhary,AY Dandekar
1254064,Mumbai,2021-04-15,2021,7,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Wickets,3,NA,JD Unadkat,S Ravi,VK Sharma
1254063,Chennai,2021-04-14,2021,6,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Runs,6,NA,GJ Maxwell,Nitin Menon,UV Gandhe
1254062,Chennai,2021-04-13,2021,5,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Runs,10,NA,RD Chahar,C Shamshuddin,CB Gaffaney
1254061,Mumbai,2021-04-12,2021,4,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,Runs,4,NA,SV Samson,AK Chaudhary,S Ravi
1254060,Chennai,2021-04-11,2021,3,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,Runs,10,NA,N Rana,KN Ananthapadmanabhan,Nitin Menon
1254059,Mumbai,2021-04-10,2021,2,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,7,NA,S Dhawan,AK Chaudhary,VK Sharma
1254058,Chennai,2021-04-09,2021,1,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,2,NA,HV Patel,KN Ananthapadmanabhan,Nitin Menon
1237181,NA,2020-11-10,2020/21,Final,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,Wickets,5,NA,TA Boult,CB Gaffaney,Nitin Menon
1237180,Abu Dhabi,2020-11-08,2020/21,Qualifier 2,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,Runs,17,NA,MP Stoinis,PR Reiffel,S Ravi
1237178,Abu Dhabi,2020-11-06,2020/21,Eliminator,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,6,NA,KS Williamson,PR Reiffel,S Ravi
1237177,NA,2020-11-05,2020/21,Qualifier 1,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,Runs,57,NA,JJ Bumrah,CB Gaffaney,Nitin Menon
